keV	att
5.000000e-01	6.276481e+04
1.000000e+00	6.018155e+04
1.500000e+00	3.730905e+04
2.000000e+00	1.830321e+04
2.500000e+00	1.126557e+04
3.000000e+00	7.543056e+03
3.500000e+00	5.207827e+03
4.000000e+00	3.767422e+03
4.500000e+00	2.767857e+03
5.000000e+00	2.097090e+03
5.500000e+00	1.628929e+03
6.000000e+00	1.292515e+03
6.500000e+00	1.044264e+03
7.000000e+00	8.564021e+02
7.500000e+00	7.115043e+02
8.000000e+00	5.980508e+02
8.500000e+00	5.074663e+02
9.000000e+00	1.613063e+03
9.500000e+00	1.424540e+03
1.000000e+01	1.834572e+03
1.050000e+01	1.624075e+03
1.100000e+01	1.439966e+03
1.150000e+01	1.280535e+03
1.200000e+01	1.142706e+03
1.250000e+01	1.023607e+03
1.300000e+01	9.202867e+02
1.350000e+01	8.983388e+02
1.400000e+01	8.141807e+02
1.450000e+01	7.403384e+02
1.500000e+01	6.752382e+02
1.550000e+01	6.486875e+02
1.600000e+01	6.111446e+02
1.650000e+01	5.630536e+02
1.700000e+01	5.200084e+02
1.750000e+01	4.814567e+02
1.800000e+01	4.466913e+02
1.850000e+01	4.151880e+02
1.900000e+01	3.866583e+02
1.950000e+01	3.607463e+02
2.000000e+01	3.371776e+02
2.050000e+01	3.156492e+02
2.100000e+01	2.959149e+02
2.150000e+01	2.778175e+02
2.200000e+01	2.611733e+02
2.250000e+01	2.458697e+02
2.300000e+01	2.317246e+02
2.350000e+01	2.186642e+02
2.400000e+01	2.065750e+02
2.450000e+01	1.953700e+02
2.500000e+01	1.849642e+02
2.550000e+01	1.752681e+02
2.600000e+01	1.662428e+02
2.650000e+01	1.578313e+02
2.700000e+01	1.499743e+02
2.750000e+01	1.426354e+02
2.800000e+01	1.357758e+02
2.850000e+01	1.293454e+02
2.900000e+01	1.233205e+02
2.950000e+01	1.176539e+02
3.000000e+01	1.123341e+02
3.050000e+01	1.073303e+02
3.100000e+01	1.026210e+02
3.150000e+01	9.817904e+01
3.200000e+01	9.398861e+01
3.250000e+01	9.004001e+01
3.300000e+01	8.629685e+01
3.350000e+01	8.276820e+01
3.400000e+01	7.942737e+01
3.450000e+01	7.626536e+01
3.500000e+01	7.327034e+01
3.550000e+01	7.043409e+01
3.600000e+01	6.774236e+01
3.650000e+01	6.518640e+01
3.700000e+01	6.275798e+01
3.750000e+01	6.044998e+01
3.800000e+01	5.825440e+01
3.850000e+01	5.616499e+01
3.900000e+01	5.417537e+01
3.950000e+01	5.227648e+01
4.000000e+01	5.046947e+01
4.050000e+01	4.874490e+01
4.100000e+01	4.709921e+01
4.150000e+01	4.552836e+01
4.200000e+01	4.402746e+01
4.250000e+01	4.259271e+01
4.300000e+01	4.122083e+01
4.350000e+01	3.990999e+01
4.400000e+01	3.865731e+01
4.450000e+01	3.745730e+01
4.500000e+01	3.630792e+01
4.550000e+01	3.520675e+01
4.600000e+01	3.415149e+01
4.650000e+01	3.313994e+01
4.700000e+01	3.216762e+01
4.750000e+01	3.123748e+01
4.800000e+01	3.034381e+01
4.850000e+01	2.948538e+01
4.900000e+01	2.865944e+01
4.950000e+01	2.786650e+01
5.000000e+01	2.710266e+01
5.050000e+01	2.636875e+01
5.100000e+01	2.566248e+01
5.150000e+01	2.498386e+01
5.200000e+01	2.433079e+01
5.250000e+01	2.370157e+01
5.300000e+01	2.309522e+01
5.350000e+01	2.251226e+01
5.400000e+01	2.194855e+01
5.450000e+01	2.140487e+01
5.500000e+01	2.088115e+01
5.550000e+01	2.037617e+01
5.600000e+01	1.988999e+01
5.650000e+01	1.941874e+01
5.700000e+01	1.896454e+01
5.750000e+01	1.852716e+01
5.800000e+01	1.810246e+01
5.850000e+01	1.769276e+01
5.900000e+01	1.729590e+01
5.950000e+01	1.691205e+01
6.000000e+01	1.654114e+01
6.050000e+01	1.618300e+01
6.100000e+01	1.583567e+01
6.150000e+01	1.550028e+01
6.200000e+01	1.517518e+01
6.250000e+01	1.486052e+01
6.300000e+01	1.455664e+01
6.350000e+01	1.426075e+01
6.400000e+01	1.397504e+01
6.450000e+01	1.369791e+01
6.500000e+01	1.342879e+01
6.550000e+01	1.316810e+01
6.600000e+01	1.291515e+01
6.650000e+01	1.266964e+01
6.700000e+01	1.243212e+01
6.750000e+01	1.220152e+01
6.800000e+01	1.197756e+01
6.850000e+01	1.176021e+01
6.900000e+01	1.154880e+01
6.950000e+01	1.134396e+01
7.000000e+01	1.113432e+01
7.050000e+01	1.093061e+01
7.100000e+01	1.073259e+01
7.150000e+01	1.054141e+01
7.200000e+01	1.035501e+01
7.250000e+01	1.017356e+01
7.300000e+01	9.997519e+00
7.350000e+01	9.821182e+00
7.400000e+01	9.649341e+00
7.450000e+01	9.483175e+00
7.500000e+01	9.321233e+00
7.550000e+01	9.163483e+00
7.600000e+01	9.009930e+00
7.650000e+01	8.860226e+00
7.700000e+01	8.714191e+00
7.750000e+01	8.571702e+00
7.800000e+01	8.433635e+00
7.850000e+01	8.298689e+00
7.900000e+01	8.167058e+00
7.950000e+01	8.039151e+00
8.000000e+01	7.914344e+00
8.050000e+01	7.792440e+00
8.100000e+01	7.674205e+00
8.150000e+01	7.558371e+00
8.200000e+01	7.444938e+00
8.250000e+01	7.334367e+00
8.300000e+01	7.226533e+00
8.350000e+01	7.119824e+00
8.400000e+01	7.015436e+00
8.450000e+01	6.913540e+00
8.500000e+01	6.814162e+00
8.550000e+01	6.716934e+00
8.600000e+01	6.622106e+00
8.650000e+01	6.527042e+00
8.700000e+01	6.433248e+00
8.750000e+01	6.343072e+00
8.800000e+01	6.261043e+00
8.850000e+01	1.055149e+01
8.900000e+01	1.042076e+01
8.950000e+01	1.029017e+01
9.000000e+01	1.015700e+01
9.050000e+01	1.002605e+01
9.100000e+01	9.898666e+00
9.150000e+01	9.772763e+00
9.200000e+01	9.648194e+00
9.250000e+01	9.526082e+00
9.300000e+01	9.406404e+00
9.350000e+01	9.288012e+00
9.400000e+01	9.170828e+00
9.450000e+01	9.054999e+00
9.500000e+01	8.940438e+00
9.550000e+01	8.834305e+00
9.600000e+01	8.729497e+00
9.650000e+01	8.625636e+00
9.700000e+01	8.523166e+00
9.750000e+01	8.424649e+00
9.800000e+01	8.327104e+00
9.850000e+01	8.230796e+00
9.900000e+01	8.135559e+00
9.950000e+01	8.041907e+00
1.000000e+02	7.949096e+00
1.005000e+02	7.857128e+00
1.010000e+02	7.768913e+00
1.015000e+02	7.681235e+00
1.020000e+02	7.594549e+00
1.025000e+02	7.508902e+00
1.030000e+02	7.424008e+00
1.035000e+02	7.339743e+00
1.040000e+02	7.259234e+00
1.045000e+02	7.180267e+00
1.050000e+02	7.102285e+00
1.055000e+02	7.024971e+00
1.060000e+02	6.948271e+00
1.065000e+02	6.873479e+00
1.070000e+02	6.801156e+00
1.075000e+02	6.729613e+00
1.080000e+02	6.658700e+00
1.085000e+02	6.588364e+00
1.090000e+02	6.520010e+00
1.095000e+02	6.453326e+00
1.100000e+02	6.387246e+00
1.105000e+02	6.321817e+00
1.110000e+02	6.257266e+00
1.115000e+02	6.194705e+00
1.120000e+02	6.132759e+00
1.125000e+02	6.071323e+00
1.130000e+02	6.011011e+00
1.135000e+02	5.952258e+00
1.140000e+02	5.894023e+00
1.145000e+02	5.836259e+00
1.150000e+02	5.780770e+00
1.155000e+02	5.725953e+00
1.160000e+02	5.671596e+00
1.165000e+02	5.617744e+00
1.170000e+02	5.564409e+00
1.175000e+02	5.511516e+00
1.180000e+02	5.460501e+00
1.185000e+02	5.410356e+00
1.190000e+02	5.360595e+00
1.195000e+02	5.311247e+00
1.200000e+02	5.262440e+00
1.205000e+02	5.215332e+00
1.210000e+02	5.168616e+00
1.215000e+02	5.122249e+00
1.220000e+02	5.076788e+00
1.225000e+02	5.032498e+00
1.230000e+02	4.988609e+00
1.235000e+02	4.945003e+00
1.240000e+02	4.901708e+00
1.245000e+02	4.858882e+00
1.250000e+02	4.817841e+00
1.255000e+02	4.777193e+00
1.260000e+02	4.736814e+00
1.265000e+02	4.696694e+00
1.270000e+02	4.656871e+00
1.275000e+02	4.617776e+00
1.280000e+02	4.579707e+00
1.285000e+02	4.541865e+00
1.290000e+02	4.504263e+00
1.295000e+02	4.466918e+00
1.300000e+02	4.430724e+00
1.305000e+02	4.394969e+00
1.310000e+02	4.359465e+00
1.315000e+02	4.324239e+00
1.320000e+02	4.290296e+00
1.325000e+02	4.256776e+00
1.330000e+02	4.223567e+00
1.335000e+02	4.190539e+00
1.340000e+02	4.157718e+00
1.345000e+02	4.125155e+00
1.350000e+02	4.092794e+00
1.355000e+02	4.061690e+00
1.360000e+02	4.030956e+00
1.365000e+02	4.000461e+00
1.370000e+02	3.970243e+00
1.375000e+02	3.940235e+00
1.380000e+02	3.910843e+00
1.385000e+02	3.882109e+00
1.390000e+02	3.853552e+00
1.395000e+02	3.825159e+00
1.400000e+02	3.797216e+00
1.405000e+02	3.770132e+00
1.410000e+02	3.743251e+00
1.415000e+02	3.716539e+00
1.420000e+02	3.689984e+00
