keV	att
5.000000e-01	1.950012e+04
1.000000e+00	3.911250e+04
1.500000e+00	1.865249e+04
2.000000e+00	9.531769e+03
2.500000e+00	5.559729e+03
3.000000e+00	3.548914e+03
3.500000e+00	2.414069e+03
4.000000e+00	1.722282e+03
4.500000e+00	1.272999e+03
5.000000e+00	2.384757e+03
5.500000e+00	3.354929e+03
6.000000e+00	2.897673e+03
6.500000e+00	2.365513e+03
7.000000e+00	1.955942e+03
7.500000e+00	1.636133e+03
8.000000e+00	1.384167e+03
8.500000e+00	1.182617e+03
9.000000e+00	1.018889e+03
9.500000e+00	8.840640e+02
1.000000e+01	7.723040e+02
1.050000e+01	6.790061e+02
1.100000e+01	6.002913e+02
1.150000e+01	5.335506e+02
1.200000e+01	4.763866e+02
1.250000e+01	4.272790e+02
1.300000e+01	3.847674e+02
1.350000e+01	3.478566e+02
1.400000e+01	3.155322e+02
1.450000e+01	2.872690e+02
1.500000e+01	2.623143e+02
1.550000e+01	2.401752e+02
1.600000e+01	2.205704e+02
1.650000e+01	2.029974e+02
1.700000e+01	1.873294e+02
1.750000e+01	1.732908e+02
1.800000e+01	1.606357e+02
1.850000e+01	1.491953e+02
1.900000e+01	1.388209e+02
1.950000e+01	1.294057e+02
2.000000e+01	1.208346e+02
2.050000e+01	1.130660e+02
2.100000e+01	1.059335e+02
2.150000e+01	9.940435e+01
2.200000e+01	9.339976e+01
2.250000e+01	8.788465e+01
2.300000e+01	8.280506e+01
2.350000e+01	7.810410e+01
2.400000e+01	7.377585e+01
2.450000e+01	6.977404e+01
2.500000e+01	6.604963e+01
2.550000e+01	6.259385e+01
2.600000e+01	5.938085e+01
2.650000e+01	5.637981e+01
2.700000e+01	5.359288e+01
2.750000e+01	5.097567e+01
2.800000e+01	4.853007e+01
2.850000e+01	4.623818e+01
2.900000e+01	4.410314e+01
2.950000e+01	4.208628e+01
3.000000e+01	4.017459e+01
3.050000e+01	3.838290e+01
3.100000e+01	3.669207e+01
3.150000e+01	3.510147e+01
3.200000e+01	3.359806e+01
3.250000e+01	3.213650e+01
3.300000e+01	3.069211e+01
3.350000e+01	9.244082e+01
3.400000e+01	8.910812e+01
3.450000e+01	8.585512e+01
3.500000e+01	8.275382e+01
3.550000e+01	7.973276e+01
3.600000e+01	1.355226e+02
3.650000e+01	1.310240e+02
3.700000e+01	1.266619e+02
3.750000e+01	1.224360e+02
3.800000e+01	1.183878e+02
3.850000e+01	1.145081e+02
3.900000e+01	1.107877e+02
3.950000e+01	1.072243e+02
4.000000e+01	1.038110e+02
4.050000e+01	1.005409e+02
4.100000e+01	9.740740e+01
4.150000e+01	9.438778e+01
4.200000e+01	9.149203e+01
4.250000e+01	8.871247e+01
4.300000e+01	8.604617e+01
4.350000e+01	8.348768e+01
4.400000e+01	8.103180e+01
4.450000e+01	7.867356e+01
4.500000e+01	7.640710e+01
4.550000e+01	7.422725e+01
4.600000e+01	7.213177e+01
4.650000e+01	7.011536e+01
4.700000e+01	6.817519e+01
4.750000e+01	6.630800e+01
4.800000e+01	6.451038e+01
4.850000e+01	6.277906e+01
4.900000e+01	6.111100e+01
4.950000e+01	5.950245e+01
5.000000e+01	5.795080e+01
5.050000e+01	5.645383e+01
5.100000e+01	5.500888e+01
5.150000e+01	5.361421e+01
5.200000e+01	5.226761e+01
5.250000e+01	5.096698e+01
5.300000e+01	4.971034e+01
5.350000e+01	4.849579e+01
5.400000e+01	4.732103e+01
5.450000e+01	4.618442e+01
