# <old_case_name>	<new_stem>	<predicted arch z in the _02_A volume>	<margin used>
# predicted = round8_arch + (10 - margin): the round-9 re-placement is a pure
# Z translation of a known build, so the round-8 arch pick carries over exactly.
CQ500-CT-127_A	CQ500-CT-127	-36.1	-47.8
CQ500-CT-136_A	CQ500-CT-136	-51.4	-56.6
CQ500-CT-172_A	CQ500-CT-172	-14.5	-54.5
CQ500-CT-183_A	CQ500-CT-183	-25.7	-54.5
CQ500-CT-241_A	CQ500-CT-241	-21.9	-39.5
CQ500-CT-266_A	CQ500-CT-266	-21.1	-68.9
CQ500-CT-298_A	CQ500-CT-298	-32.2	-74.5
CQ500-CT-305_A	CQ500-CT-305	-56.1	-27.5
CQ500-CT-307_A	CQ500-CT-307	-34.3	-61.7
CQ500-CT-325_A	CQ500-CT-325	-49.2	3.4
GRDN00MGH1ABQLE8_A	GRDN00MGH1ABQLE8	-41.9	-32.3
GRDN02BKET588MC5_A	GRDN02BKET588MC5	-29.5	-71.0
GRDN0V840WXJ02B6_A	GRDN0V840WXJ02B6	-39.0	-44.9
GRDN0XOSMPPEAYBU_A	GRDN0XOSMPPEAYBU	-32.7	-48.2
GRDN0YP5B56SGAJM_A	GRDN0YP5B56SGAJM	-49.4	-31.7
GRDN17YG2OQIYVPO_A	GRDN17YG2OQIYVPO	-31.0	-55.7
GRDN1P7W3AFP70R8_A	GRDN1P7W3AFP70R8	-27.8	-80.0
GRDN1TQOUC2B1R2U_A	GRDN1TQOUC2B1R2U	-42.0	-41.0
GRDN21I9AD975J98_A	GRDN21I9AD975J98	-22.2	-44.9
GRDN2SAZN503S7N0_A	GRDN2SAZN503S7N0	-72.4	-27.8
MRCP-10F_dicom_1328x815x1067_A	MRCP-10F_dicom_1328x815x1067	-34.1	-40.1
MRCP-10M_dicom_1317x828x1067_A	MRCP-10M_dicom_1317x828x1067	-44.0	-42.8
MRCP-15F_dicom_1316x812x1067_A	MRCP-15F_dicom_1316x812x1067	-8.9	-46.0
MRCP-15M_dicom_1444x834x1067_A	MRCP-15M_dicom_1444x834x1067	-23.8	-50.6
MRCP_AF_dicom_1539x955x1067_A	MRCP_AF_dicom_1539x955x1067	-11.7	-69.2
MRCP_AM_dicom_1552x970x1067_A	MRCP_AM_dicom_1552x970x1067	-26.1	-54.8
