pool,case,side,limb,anatomical_extent,dir_name,path,nx,ny,nz,spacing_x_mm,spacing_y_mm,spacing_z_mm,leg_purity_pct,notes
MCRP,MRCP-00F,L,arm,mid-upper-arm to fingertip,MRCP-00F_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00F_LeftArm,48,91,192,1.0000,1.0000,1.0000,,
MCRP,MRCP-00F,R,arm,mid-upper-arm to fingertip,MRCP-00F_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00F_RightArm,47,91,192,1.0000,1.0000,1.0000,,
MCRP,MRCP-00F,L,leg,mid-thigh to toe tip,MRCP-00F_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00F_LeftLeg,115,133,152,1.0000,1.0000,1.0000,,
MCRP,MRCP-00F,R,leg,mid-thigh to toe tip,MRCP-00F_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00F_RightLeg,114,133,152,1.0000,1.0000,1.0000,,
MCRP,MRCP-00M,L,arm,mid-upper-arm to fingertip,MRCP-00M_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00M_LeftArm,48,91,192,1.0000,1.0000,1.0000,,
MCRP,MRCP-00M,R,arm,mid-upper-arm to fingertip,MRCP-00M_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00M_RightArm,47,91,192,1.0000,1.0000,1.0000,,
MCRP,MRCP-00M,L,leg,mid-thigh to toe tip,MRCP-00M_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00M_LeftLeg,115,133,152,1.0000,1.0000,1.0000,,
MCRP,MRCP-00M,R,leg,mid-thigh to toe tip,MRCP-00M_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-00M_RightLeg,114,133,152,1.0000,1.0000,1.0000,,
MCRP,MRCP-01F,L,arm,mid-upper-arm to fingertip,MRCP-01F_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01F_LeftArm,44,120,306,1.0000,1.0000,1.0000,,
MCRP,MRCP-01F,R,arm,mid-upper-arm to fingertip,MRCP-01F_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01F_RightArm,43,119,309,1.0000,1.0000,1.0000,,
MCRP,MRCP-01F,L,leg,mid-thigh to toe tip,MRCP-01F_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01F_LeftLeg,96,138,283,1.0000,1.0000,1.0000,,
MCRP,MRCP-01F,R,leg,mid-thigh to toe tip,MRCP-01F_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01F_RightLeg,97,134,283,1.0000,1.0000,1.0000,,
MCRP,MRCP-01M,L,arm,mid-upper-arm to fingertip,MRCP-01M_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01M_LeftArm,44,119,309,1.0000,1.0000,1.0000,,
MCRP,MRCP-01M,R,arm,mid-upper-arm to fingertip,MRCP-01M_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01M_RightArm,43,122,308,1.0000,1.0000,1.0000,,
MCRP,MRCP-01M,L,leg,mid-thigh to toe tip,MRCP-01M_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01M_LeftLeg,97,137,281,1.0000,1.0000,1.0000,,
MCRP,MRCP-01M,R,leg,mid-thigh to toe tip,MRCP-01M_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-01M_RightLeg,97,135,281,1.0000,1.0000,1.0000,,
MCRP,MRCP-05F,L,arm,mid-upper-arm to fingertip,MRCP-05F_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05F_LeftArm,65,128,428,1.0000,1.0000,1.0000,,
MCRP,MRCP-05F,R,arm,mid-upper-arm to fingertip,MRCP-05F_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05F_RightArm,65,128,427,1.0000,1.0000,1.0000,,
MCRP,MRCP-05F,L,leg,mid-thigh to toe tip,MRCP-05F_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05F_LeftLeg,113,182,451,1.0000,1.0000,1.0000,,
MCRP,MRCP-05F,R,leg,mid-thigh to toe tip,MRCP-05F_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05F_RightLeg,112,179,451,1.0000,1.0000,1.0000,,
MCRP,MRCP-05M,L,arm,mid-upper-arm to fingertip,MRCP-05M_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05M_LeftArm,65,128,428,1.0000,1.0000,1.0000,,
MCRP,MRCP-05M,R,arm,mid-upper-arm to fingertip,MRCP-05M_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05M_RightArm,65,128,427,1.0000,1.0000,1.0000,,
MCRP,MRCP-05M,L,leg,mid-thigh to toe tip,MRCP-05M_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05M_LeftLeg,113,182,447,1.0000,1.0000,1.0000,,
MCRP,MRCP-05M,R,leg,mid-thigh to toe tip,MRCP-05M_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-05M_RightLeg,113,179,447,1.0000,1.0000,1.0000,,
MCRP,MRCP-10F,L,arm,mid-upper-arm to fingertip,MRCP-10F_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10F_LeftArm,77,166,561,1.0000,1.0000,1.0000,,
MCRP,MRCP-10F,R,arm,mid-upper-arm to fingertip,MRCP-10F_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10F_RightArm,77,167,562,1.0000,1.0000,1.0000,,
MCRP,MRCP-10F,L,leg,mid-thigh to toe tip,MRCP-10F_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10F_LeftLeg,149,216,592,1.0000,1.0000,1.0000,,
MCRP,MRCP-10F,R,leg,mid-thigh to toe tip,MRCP-10F_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10F_RightLeg,148,214,592,1.0000,1.0000,1.0000,,
MCRP,MRCP-10M,L,arm,mid-upper-arm to fingertip,MRCP-10M_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10M_LeftArm,77,166,561,1.0000,1.0000,1.0000,,
MCRP,MRCP-10M,R,arm,mid-upper-arm to fingertip,MRCP-10M_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10M_RightArm,78,166,562,1.0000,1.0000,1.0000,,
MCRP,MRCP-10M,L,leg,mid-thigh to toe tip,MRCP-10M_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10M_LeftLeg,150,216,588,1.0000,1.0000,1.0000,,
MCRP,MRCP-10M,R,leg,mid-thigh to toe tip,MRCP-10M_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-10M_RightLeg,148,213,588,1.0000,1.0000,1.0000,,
MCRP,MRCP-15F,L,arm,mid-upper-arm to fingertip,MRCP-15F_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15F_LeftArm,98,190,656,1.0000,1.0000,1.0000,,
MCRP,MRCP-15F,R,arm,mid-upper-arm to fingertip,MRCP-15F_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15F_RightArm,96,187,655,1.0000,1.0000,1.0000,,
MCRP,MRCP-15F,L,leg,mid-thigh to toe tip,MRCP-15F_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15F_LeftLeg,164,269,745,1.0000,1.0000,1.0000,,
MCRP,MRCP-15F,R,leg,mid-thigh to toe tip,MRCP-15F_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15F_RightLeg,166,270,744,1.0000,1.0000,1.0000,,
MCRP,MRCP-15M,L,arm,mid-upper-arm to fingertip,MRCP-15M_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15M_LeftArm,92,216,690,1.0000,1.0000,1.0000,,
MCRP,MRCP-15M,R,arm,mid-upper-arm to fingertip,MRCP-15M_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15M_RightArm,92,216,690,1.0000,1.0000,1.0000,,
MCRP,MRCP-15M,L,leg,mid-thigh to toe tip,MRCP-15M_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15M_LeftLeg,162,279,751,1.0000,1.0000,1.0000,,
MCRP,MRCP-15M,R,leg,mid-thigh to toe tip,MRCP-15M_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP-15M_RightLeg,165,279,751,1.0000,1.0000,1.0000,,
MCRP,MRCP_AF,L,arm,mid-upper-arm to fingertip,MRCP_AF_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AF_LeftArm,121,186,641,1.0000,1.0000,1.0000,,
MCRP,MRCP_AF,R,arm,mid-upper-arm to fingertip,MRCP_AF_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AF_RightArm,111,192,630,1.0000,1.0000,1.0000,,
MCRP,MRCP_AF,L,leg,mid-thigh to toe tip,MRCP_AF_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AF_LeftLeg,183,256,762,1.0000,1.0000,1.0000,,
MCRP,MRCP_AF,R,leg,mid-thigh to toe tip,MRCP_AF_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AF_RightLeg,167,245,765,1.0000,1.0000,1.0000,,
MCRP,MRCP_AM,L,arm,mid-upper-arm to fingertip,MRCP_AM_LeftArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AM_LeftArm,122,194,721,1.0000,1.0000,1.0000,,
MCRP,MRCP_AM,R,arm,mid-upper-arm to fingertip,MRCP_AM_RightArm,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AM_RightArm,131,200,700,1.0000,1.0000,1.0000,,
MCRP,MRCP_AM,L,leg,mid-thigh to toe tip,MRCP_AM_LeftLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AM_LeftLeg,204,285,811,1.0000,1.0000,1.0000,,
MCRP,MRCP_AM,R,leg,mid-thigh to toe tip,MRCP_AM_RightLeg,/mnt/h/MICHELE_MCGPU/MCRP_dicom/MRCP_AM_RightLeg,189,278,812,1.0000,1.0000,1.0000,,
VSD,002,L,leg,mid-thigh to toe tip,002_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/002_LeftLeg_MidThigh-ToToe,217,257,1151,0.9766,0.9766,0.5998,99.1,
VSD,002,R,leg,mid-thigh to toe tip,002_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/002_RightLeg_MidThigh-ToToe,188,265,1147,0.9766,0.9766,0.5998,99.1,
VSD,006,L,leg,mid-thigh to toe tip,006_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/006_LeftLeg_MidThigh-ToToe,194,271,1095,0.9766,0.9766,0.6998,97.1,
VSD,006,R,leg,mid-thigh to toe tip,006_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/006_RightLeg_MidThigh-ToToe,204,252,1089,0.9766,0.9766,0.6998,98.0,
VSD,010,L,leg,mid-thigh to toe tip,010_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/010_LeftLeg_MidThigh-ToToe,190,318,1171,0.8262,0.8262,0.6000,98.7,
VSD,010,R,leg,mid-thigh to toe tip,010_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/010_RightLeg_MidThigh-ToToe,216,339,1133,0.8262,0.8262,0.6000,98.9,
VSD,014,L,leg,mid-thigh to toe tip,014_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/014_LeftLeg_MidThigh-ToToe,184,278,1136,0.9043,0.9043,0.5999,100.0,
VSD,014,R,leg,mid-thigh to toe tip,014_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/014_RightLeg_MidThigh-ToToe,146,266,1175,0.9043,0.9043,0.5999,99.6,
VSD,015,L,leg,mid-thigh to toe tip,015_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/015_LeftLeg_MidThigh-ToToe,249,336,1260,0.7656,0.7656,0.6000,97.2,
