case,side,nx,ny,nz,leg_fraction_pct,n_components
002,L,217,257,1151,99.1,139
002,R,188,265,1147,99.1,186
006,L,194,271,1095,97.1,295
006,R,204,252,1089,98.0,422
010,L,190,318,1171,98.7,533
010,R,216,339,1133,98.9,231
014,L,184,278,1136,100.0,127
014,R,146,266,1175,99.6,41
015,L,249,336,1260,97.2,165
015,R,223,381,1243,97.9,122
016,L,268,266,1098,97.4,761
016,R,178,272,1098,99.5,501
017,L,274,368,1205,98.5,113
017,R,221,335,1215,99.5,38
019,L,240,426,1265,99.0,179
019,R,253,383,1264,98.3,180
023,L,214,369,1305,99.4,105
023,R,217,372,1312,99.6,45
z001,L,219,250,1533,98.9,7
z001,R,210,282,1526,98.4,6
z009,L,150,285,1594,99.0,54
z009,R,174,250,1559,91.4,186
z013,L,141,190,1398,99.1,37
z013,R,176,163,1392,98.8,42
z019,L,180,214,1632,94.2,2
z019,R,182,212,1649,97.9,2
z023,L,205,246,1483,96.8,21
z023,R,276,262,1448,89.7,80
z027,L,142,192,1439,97.5,6
z027,R,67,194,1428,95.1,3
z035,L,144,173,1450,98.4,9
z035,R,85,157,1463,100.0,7
z042,L,176,222,1430,98.6,6
z042,R,181,263,1447,98.2,3
z046,L,201,218,3066,96.2,3
z046,R,103,218,3146,99.5,16
z049,L,150,221,1532,98.9,2
z049,R,216,207,1523,96.9,2
z050,L,215,225,2844,94.9,22
z050,R,217,217,2884,99.0,77
z055,L,200,182,1417,96.8,5
z055,R,205,170,1431,96.9,2
z056,L,183,205,1703,98.5,4
z056,R,141,232,1700,96.4,4
z057,L,253,199,1381,88.6,2039
z057,R,126,237,1536,90.8,1658
z061,L,136,187,1635,96.4,3
z061,R,159,171,1643,99.5,6
z062,L,171,191,1557,95.7,8
z062,R,176,189,1551,95.1,11
z063,L,186,223,1484,98.0,15
z063,R,191,235,1505,99.0,35
z064,L,221,248,1579,94.4,3
z064,R,205,274,1499,97.2,10
z066,L,147,185,1563,98.5,35
z066,R,165,157,1548,99.5,205
