E(keV)	tissue(ICRU44)	water	bonecortical(ICRU44)	adipose	aria	Al	Ca	Fe	C	Cu	Ag	Sn	Ba	Si	CsI	GadOX	polietilene	PMMA	teflon	glass(Pyrex)	Pb	CdTe	ZnSe(Te)	W	Mo	PMMA(wat1999)	Poliossimetilene	CaCl2	etanolo	CaCl2_H2O_100	CaCl2_etanolo_150	CaCl2_etanolo_50	Ottone(Cu_06_Zn_04)	Au	Mg	Ti	mix	H	HA_800mg_Idrossiapatite_in_water	HA_200mg_Idrossiapatite_in_water	HA_100mg_Idrossiapatite_in_water	HA_50mg_Idrossiapatite_in_water	I
0.5	26,500.000	27,100.000	47,230.000	17,480.000	0.065	20,380.000	47,230.000	384,251.200	32.994	621,000.000	70,390.000	59,627.000	14,070.000	23,067.000	41,645.340	18,577.680	15.488	23,210.000	121.556	46,600.000	230,405.000	5203.015	2,011.691	2073.84212425576	25400	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	355500.0	1025.00000	26445.71	97.041	0.512233847991425	21391.241	25672.81	26386.405	26743.203	4400.16883243905
1.0	3,932.600	4,080.000	7,258.000	2,499.000	0.065	3,212.000	7,258.000	71,495.920	32.994	95,000.000	70,390.000	59,627.000	2,989.000	3,658.100	41,645.340	18,577.680	15.488	3,320.000	121.556	7,050.000	59,133.500	5203.015	2,011.691	2073.84212425576	5050	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	89840.0	160.40000	26445.71	97.041	0.512233847991425	4199.089	4109.772	4094.886	4087.443	4400.16883243905
1.5	1,325.000	1,380.000	2,477.000	818.900	0.065	1,085.000	2,477.000	26,771.600	32.994	39,600.000	27,900.000	24,093.760	1,575.000	1,248.880	18,635.320	32,661.600	15.488	1,089.000	121.556	2,570.000	26,786.000	5203.015	2,011.691	2073.84212425576	1970	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	40380.0	696.00000	9444.58	97.041	0.15297882600418	2182.633	1580.658	1480.329	1430.165	4400.16883243905
2.0	593.600	617.000	1,127.000	361.000	0.065	6,100.000	1,127.000	12,834.620	32.994	19,300.000	14,100.000	12,171.150	812.000	6,477.400	9,534.140	21,449.520	15.488	480.800	121.556	3,350.000	14,641.500	5203.015	2,011.691	2073.84212425576	980	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	22020.0	335.80000	4442.92	97.041	0.0747129833851579	990.397	710.349	663.675	640.337	4400.16883243905
2.5	324.360	327.000	923.500	191.000	0.065	3,482.000	923.500	7,102.348	32.994	10,800.000	5,136.000	12,171.150	472.500	3,821.200	9,534.140	14,202.960	15.488	251.100	121.556	1,920.000	16,684.500	5203.015	2,011.691	2073.84212425576	564	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	44050.0	186.20000	2449.25	97.041	0.0502397881990211	773.815	438.704	382.852	354.926	4400.16883243905
3.0	195.040	193.000	568.300	113.100	0.065	2,127.000	568.300	4,393.692	32.994	6,710.000	5,136.000	4,490.530	304.500	2,278.740	3,553.880	8,965.200	15.488	147.600	121.556	1,140.000	22,246.000	5203.015	2,011.691	2073.84212425576	2050	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	39610.0	114.50000	1497.34	97.041	0.0400718917637463	465.739	261.185	227.092	210.046	4400.16883243905
3.5	124.020	123.000	370.600	71.540	0.065	1,401.000	370.600	2,897.632	32.994	4,440.000	11,260.000	4,490.530	207.200	1,502.850	3,553.880	5,208.000	15.488	93.060	121.556	747.000	17,592.500	5203.015	2,011.691	2073.84212425576	1390	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	30330.0	75.17000	984.64	97.041	0.0350610361849055	413.461	195.615	159.308	141.154	4400.16883243905
4.0	86.496	82.800	255.400	47.980	0.065	971.600	255.400	2,023.618	32.994	3,110.000	13,050.000	6,866.280	148.750	1,055.490	1,730.036	4,401.504	15.488	62.480	121.556	524.000	14,187.500	5203.015	2,011.691	2073.84212425576	991	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	22020.0	51.68000	683.56	97.041	0.0323150066488308	493.038	185.359	134.08	108.44	4400.16883243905
4.5	61.162	58.300	483.800	33.730	0.065	701.700	483.800	1,464.564	32.994	2,260.000	10,347.173	8,165.270	110.250	764.240	2,333.474	3,348.000	15.488	43.790	121.556	379.000	10,691.700	5203.015	2,011.691	2073.84212425576	732	35.8331	42.8175111932818	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	3906.057	16620.0	37.06000	494.85	97.041	0.0306994586713368	474.741	162.41	110.355	84.328	4400.16883243905
5.0	44.732	42.600	368.600	24.610	0.049	520.900	368.600	1,102.360	32.994	1,700.000	7,776.832	6,161.436	84.350	570.850	2,388.496	2,508.024	15.488	31.890	121.556	281.000	8,285.500	5203.015	2,011.691	2073.84212425576	557	31.6977	47.1347160885786	982.224748622419	21.2406383996195	93.93619462748	84.8090398597199	84.8090398597199	1662.798	12870.0	27.49000	3081.54	97.041	0.029698376598339	275.489	100.822	71.711	57.156	4400.16883243905
