keV	att
5.000000e-01	1.894934e+04
1.000000e+00	3.197174e+03
1.500000e+00	1.082215e+03
2.000000e+00	6.094444e+03
2.500000e+00	3.447006e+03
3.000000e+00	2.128461e+03
3.500000e+00	1.403276e+03
4.000000e+00	9.738044e+02
4.500000e+00	7.014061e+02
5.000000e+00	5.222069e+02
5.500000e+00	3.986934e+02
6.000000e+00	3.104302e+02
6.500000e+00	2.502960e+02
7.000000e+00	2.028366e+02
7.500000e+00	1.658517e+02
8.000000e+00	1.370036e+02
8.500000e+00	1.143473e+02
9.000000e+00	9.638728e+01
9.500000e+00	8.200512e+01
1.000000e+01	7.036738e+01
1.050000e+01	6.085618e+01
1.100000e+01	5.300958e+01
1.150000e+01	4.647702e+01
1.200000e+01	4.099538e+01
1.250000e+01	3.635825e+01
1.300000e+01	3.240952e+01
1.350000e+01	2.902328e+01
1.400000e+01	2.610322e+01
1.450000e+01	2.356989e+01
1.500000e+01	2.136144e+01
1.550000e+01	1.942669e+01
1.600000e+01	1.772415e+01
1.650000e+01	1.621999e+01
1.700000e+01	1.488532e+01
1.750000e+01	1.369729e+01
1.800000e+01	1.263599e+01
1.850000e+01	1.168469e+01
1.900000e+01	1.082971e+01
1.950000e+01	1.005892e+01
2.000000e+01	9.362146e+00
2.050000e+01	8.730860e+00
2.100000e+01	8.157404e+00
2.150000e+01	7.635192e+00
2.200000e+01	7.158821e+00
2.250000e+01	6.723373e+00
2.300000e+01	6.324263e+00
2.350000e+01	5.958022e+00
2.400000e+01	5.621361e+00
2.450000e+01	5.311295e+00
2.500000e+01	5.025125e+00
2.550000e+01	4.760775e+00
2.600000e+01	4.516214e+00
2.650000e+01	4.289564e+00
2.700000e+01	4.079107e+00
2.750000e+01	3.883593e+00
2.800000e+01	3.701728e+00
2.850000e+01	3.532350e+00
2.900000e+01	3.374225e+00
2.950000e+01	3.226605e+00
3.000000e+01	3.088644e+00
3.050000e+01	2.959571e+00
3.100000e+01	2.838649e+00
3.150000e+01	2.725176e+00
3.200000e+01	2.618691e+00
3.250000e+01	2.518668e+00
3.300000e+01	2.424630e+00
3.350000e+01	2.336105e+00
3.400000e+01	2.252629e+00
3.450000e+01	2.173942e+00
3.500000e+01	2.099709e+00
3.550000e+01	2.029620e+00
3.600000e+01	1.963394e+00
3.650000e+01	1.900639e+00
3.700000e+01	1.841235e+00
3.750000e+01	1.784980e+00
3.800000e+01	1.731670e+00
3.850000e+01	1.681115e+00
3.900000e+01	1.633141e+00
3.950000e+01	1.587464e+00
4.000000e+01	1.544061e+00
4.050000e+01	1.502794e+00
4.100000e+01	1.463535e+00
4.150000e+01	1.426164e+00
4.200000e+01	1.390568e+00
4.250000e+01	1.356580e+00
4.300000e+01	1.324159e+00
4.350000e+01	1.293226e+00
4.400000e+01	1.263698e+00
4.450000e+01	1.235494e+00
4.500000e+01	1.208543e+00
4.550000e+01	1.182770e+00
4.600000e+01	1.158082e+00
4.650000e+01	1.134455e+00
4.700000e+01	1.111831e+00
4.750000e+01	1.090159e+00
4.800000e+01	1.069388e+00
4.850000e+01	1.049471e+00
4.900000e+01	1.030366e+00
4.950000e+01	1.011988e+00
5.000000e+01	9.943391e-01
5.050000e+01	9.773868e-01
5.100000e+01	9.610965e-01
5.150000e+01	9.454359e-01
5.200000e+01	9.303744e-01
5.250000e+01	9.158833e-01
5.300000e+01	9.019325e-01
5.350000e+01	8.884543e-01
5.400000e+01	8.754712e-01
5.450000e+01	8.629603e-01
5.500000e+01	8.508999e-01
5.550000e+01	8.392694e-01
5.600000e+01	8.280495e-01
5.650000e+01	8.172217e-01
5.700000e+01	8.067686e-01
5.750000e+01	7.966519e-01
5.800000e+01	7.868674e-01
5.850000e+01	7.774117e-01
5.900000e+01	7.682707e-01
5.950000e+01	7.594308e-01
6.000000e+01	7.508794e-01
6.050000e+01	7.426043e-01
6.100000e+01	7.345941e-01
6.150000e+01	7.268377e-01
6.200000e+01	7.193092e-01
6.250000e+01	7.120123e-01
6.300000e+01	7.049401e-01
6.350000e+01	6.980836e-01
6.400000e+01	6.914342e-01
6.450000e+01	6.849837e-01
6.500000e+01	6.787243e-01
6.550000e+01	6.726487e-01
6.600000e+01	6.667496e-01
6.650000e+01	6.610149e-01
6.700000e+01	6.554377e-01
6.750000e+01	6.500181e-01
6.800000e+01	6.447501e-01
6.850000e+01	6.396281e-01
6.900000e+01	6.346467e-01
6.950000e+01	6.298008e-01
7.000000e+01	6.248291e-01
7.050000e+01	6.198662e-01
7.100000e+01	6.150380e-01
7.150000e+01	6.103385e-01
7.200000e+01	6.057542e-01
7.250000e+01	6.012894e-01
7.300000e+01	5.969395e-01
7.350000e+01	5.927002e-01
7.400000e+01	5.885673e-01
7.450000e+01	5.845367e-01
7.500000e+01	5.806049e-01
7.550000e+01	5.767681e-01
7.600000e+01	5.730230e-01
7.650000e+01	5.693662e-01
7.700000e+01	5.657947e-01
7.750000e+01	5.622995e-01
7.800000e+01	5.588825e-01
7.850000e+01	5.555424e-01
7.900000e+01	5.522767e-01
7.950000e+01	5.490829e-01
8.000000e+01	5.459587e-01
